station_id,station_name,observed_at,rain_1h_mm,rain_acc_mm
-722,Khoen On,2024-09-07 00:00:00,0.0,0.0
-722,Khoen On,2024-09-07 01:00:00,0.0,0.0
-722,Khoen On,2024-09-07 02:00:00,0.0,0.0
-722,Khoen On,2024-09-07 03:00:00,0.0,0.0
-722,Khoen On,2024-09-07 04:00:00,1.600000023841858,1.600000023841858
-722,Khoen On,2024-09-07 05:00:00,4.199999809265137,5.799999833106995
-722,Khoen On,2024-09-07 06:00:00,0.20000000298023224,5.999999836087227
-722,Khoen On,2024-09-07 07:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 08:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 09:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 10:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 11:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 12:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 13:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 14:00:00,0.0,5.999999836087227
-722,Khoen On,2024-09-07 15:00:00,0.20000000298023224,6.199999839067459
-722,Khoen On,2024-09-07 16:00:00,0.4000000059604645,6.599999845027924
-722,Khoen On,2024-09-07 17:00:00,0.20000000298023224,6.799999848008156
-722,Khoen On,2024-09-07 18:00:00,0.20000000298023224,6.999999850988388
-722,Khoen On,2024-09-07 19:00:00,0.0,6.999999850988388
-722,Khoen On,2024-09-07 20:00:00,0.4000000059604645,7.3999998569488525
-722,Khoen On,2024-09-07 21:00:00,1.0,8.399999856948853
-722,Khoen On,2024-09-07 22:00:00,0.4000000059604645,8.799999862909317
-722,Khoen On,2024-09-07 23:00:00,0.800000011920929,9.599999874830246
-722,Khoen On,2024-09-08 00:00:00,0.6000000238418579,3.200000047683716
-722,Khoen On,2024-09-08 01:00:00,1.399999976158142,4.600000023841858
-722,Khoen On,2024-09-08 02:00:00,2.200000047683716,6.800000071525574
-722,Khoen On,2024-09-08 03:00:00,1.399999976158142,8.200000047683716
-722,Khoen On,2024-09-08 04:00:00,0.4000000059604645,8.60000005364418
-722,Khoen On,2024-09-08 05:00:00,0.20000000298023224,8.800000056624413
-722,Khoen On,2024-09-08 06:00:00,0.0,8.800000056624413
-722,Khoen On,2024-09-08 07:00:00,0.20000000298023224,9.000000059604645
-722,Khoen On,2024-09-08 08:00:00,0.0,9.000000059604645
-722,Khoen On,2024-09-08 09:00:00,1.0,10.000000059604645
-722,Khoen On,2024-09-08 10:00:00,1.7999999523162842,11.800000011920929
-722,Khoen On,2024-09-08 11:00:00,1.399999976158142,13.199999988079071
-722,Khoen On,2024-09-08 12:00:00,1.7999999523162842,14.999999940395355
-722,Khoen On,2024-09-08 13:00:00,4.400000095367432,19.400000035762787
-722,Khoen On,2024-09-08 14:00:00,2.4000000953674316,21.80000013113022
-722,Khoen On,2024-09-08 15:00:00,2.5999999046325684,24.400000035762787
-722,Khoen On,2024-09-08 16:00:00,2.799999952316284,27.19999998807907
-722,Khoen On,2024-09-08 17:00:00,4.400000095367432,31.600000083446503
-722,Khoen On,2024-09-08 18:00:00,4.800000190734863,36.400000274181366
-722,Khoen On,2024-09-08 19:00:00,4.599999904632568,41.000000178813934
-722,Khoen On,2024-09-08 20:00:00,3.5999999046325684,44.6000000834465
-722,Khoen On,2024-09-08 21:00:00,3.799999952316284,48.40000003576279
-722,Khoen On,2024-09-08 22:00:00,2.0,50.40000003576279
-722,Khoen On,2024-09-08 23:00:00,10.0,60.40000003576279
-722,Khoen On,2024-09-09 00:00:00,4.800000190734863,24.200000047683716
-722,Khoen On,2024-09-09 01:00:00,6.400000095367432,30.600000143051147
-722,Khoen On,2024-09-09 02:00:00,4.599999904632568,35.200000047683716
-722,Khoen On,2024-09-09 03:00:00,5.599999904632568,40.799999952316284
-722,Khoen On,2024-09-09 04:00:00,6.400000095367432,47.200000047683716
-722,Khoen On,2024-09-09 05:00:00,5.599999904632568,52.799999952316284
-722,Khoen On,2024-09-09 06:00:00,2.0,54.799999952316284
-722,Khoen On,2024-09-09 07:00:00,0.20000000298023224,54.999999955296516
-722,Khoen On,2024-09-09 08:00:00,0.0,54.999999955296516
-722,Khoen On,2024-09-09 09:00:00,0.0,54.999999955296516
-722,Khoen On,2024-09-09 10:00:00,0.20000000298023224,55.19999995827675
-722,Khoen On,2024-09-09 11:00:00,0.20000000298023224,55.39999996125698
-722,Khoen On,2024-09-09 12:00:00,0.4000000059604645,55.799999967217445
-722,Khoen On,2024-09-09 13:00:00,2.4000000953674316,58.20000006258488
-722,Khoen On,2024-09-09 14:00:00,1.600000023841858,59.800000086426735
-722,Khoen On,2024-09-09 15:00:00,0.6000000238418579,60.40000011026859
-722,Khoen On,2024-09-09 16:00:00,1.399999976158142,61.800000086426735
-722,Khoen On,2024-09-09 17:00:00,4.400000095367432,66.20000018179417
-722,Khoen On,2024-09-09 18:00:00,2.4000000953674316,68.6000002771616
-722,Khoen On,2024-09-09 19:00:00,1.2000000476837158,69.80000032484531
-722,Khoen On,2024-09-09 20:00:00,1.0,70.80000032484531
-722,Khoen On,2024-09-09 21:00:00,1.600000023841858,72.40000034868717
-722,Khoen On,2024-09-09 22:00:00,0.0,72.40000034868717
-722,Khoen On,2024-09-09 23:00:00,0.0,72.40000034868717
-722,Khoen On,2024-09-10 00:00:00,0.0,2.600000023841858
-722,Khoen On,2024-09-10 01:00:00,0.0,2.600000023841858
-722,Khoen On,2024-09-10 02:00:00,0.20000000298023224,2.80000002682209
-722,Khoen On,2024-09-10 03:00:00,0.20000000298023224,3.0000000298023224
-722,Khoen On,2024-09-10 04:00:00,0.20000000298023224,3.2000000327825546
-722,Khoen On,2024-09-10 05:00:00,0.0,3.2000000327825546
-722,Khoen On,2024-09-10 06:00:00,0.0,3.2000000327825546
-722,Khoen On,2024-09-10 07:00:00,0.4000000059604645,3.600000038743019
-722,Khoen On,2024-09-10 08:00:00,0.800000011920929,4.400000050663948
-722,Khoen On,2024-09-10 09:00:00,0.0,4.400000050663948
